Revision:           0
Type:               interpolation
Start:              0
Points:             768000
Count:              1
XDispRange:         6.00000E-06
XDispOrg:           -9.28560000000E-07
XInc:               7.812500E-12
XOrg:               -9.28558271344E-07
XUnits:             Second
YDispRange:         8.00000E-01
YDispOrg:           0.0E+00
YInc:               1.3054897848398E-05
YOrg:               4.17756731148744E-04
YUnits:             Volt
YReference:         1
Frame:              UXR0104A:MY62410106
Date:               23 APR 2026
Time:               13:48:49.120
Max Bandwidth:      21000000000
Min Bandwidth:      0
Data: 
-9.28558271E-07,-6.177578E-02
-9.28550459E-07,-5.909952E-02
-9.28542646E-07,-5.741544E-02
-9.28534834E-07,-5.704990E-02
-9.28527021E-07,-5.716740E-02
-9.28519209E-07,-5.637105E-02
-9.28511396E-07,-5.366869E-02
-9.28503584E-07,-4.919086E-02
-9.28495771E-07,-4.376002E-02
-9.28487959E-07,-3.812030E-02
-9.28480146E-07,-3.255892E-02
-9.28472334E-07,-2.691920E-02
-9.28464521E-07,-2.095311E-02
-9.28456709E-07,-1.472592E-02
-9.28448896E-07,-8.69456E-03
-9.28441084E-07,-3.34205E-03
-9.28433271E-07,1.47520E-03
-9.28425459E-07,6.33163E-03
-9.28417646E-07,1.173635E-02
-9.28409834E-07,1.776772E-02
-9.28402021E-07,2.409934E-02
-9.28394209E-07,3.018292E-02
-9.28386396E-07,3.547016E-02
-9.28378584E-07,3.989577E-02
-9.28370771E-07,4.372085E-02
-9.28362959E-07,4.718040E-02
-9.28355146E-07,5.060078E-02
-9.28347334E-07,5.416477E-02
-9.28339521E-07,5.763737E-02
-9.28331709E-07,6.043112E-02
-9.28323896E-07,6.190633E-02
-9.28316084E-07,6.190633E-02
-9.28308271E-07,6.080971E-02
-9.28300459E-07,5.960866E-02
-9.28292646E-07,5.925618E-02
-9.28284834E-07,5.990893E-02
-9.28277021E-07,6.078360E-02
-9.28269209E-07,6.067917E-02
-9.28261396E-07,5.859038E-02
-9.28253584E-07,5.458253E-02
-9.28245771E-07,4.989582E-02
-9.28237959E-07,4.594019E-02
-9.28230146E-07,4.318560E-02
-9.28222334E-07,4.079656E-02
-9.28214521E-07,3.735006E-02
-9.28206709E-07,3.207588E-02
-9.28198896E-07,2.540483E-02
-9.28191084E-07,1.881211E-02
-9.28183271E-07,1.374681E-02
-9.28175459E-07,1.036559E-02
-9.28167646E-07,7.51962E-03
-9.28159834E-07,3.55093E-03
-9.28152021E-07,-2.53265E-03
-9.28144209E-07,-1.019588E-02
-9.28136396E-07,-1.770244E-02
-9.28128584E-07,-2.344660E-02
-9.28120771E-07,-2.714113E-02
-9.28112959E-07,-2.998710E-02
-9.28105146E-07,-3.370775E-02
-9.28097334E-07,-3.924302E-02
-9.28089521E-07,-4.603157E-02
-9.28081709E-07,-5.253291E-02
-9.28073896E-07,-5.724573E-02
-9.28066084E-07,-5.962172E-02
-9.28058271E-07,-6.036585E-02
-9.28050459E-07,-6.069222E-02
-9.28042646E-07,-6.138413E-02
-9.28034834E-07,-6.235019E-02
-9.28027021E-07,-6.284628E-02
-9.28019209E-07,-6.220659E-02
-9.28011396E-07,-6.053556E-02
-9.28003584E-07,-5.844678E-02
-9.27995771E-07,-5.651465E-02
-9.27987959E-07,-5.470002E-02
-9.27980146E-07,-5.242847E-02
-9.27972334E-07,-4.917780E-02
-9.27964521E-07,-4.506551E-02
-9.27956709E-07,-4.073128E-02
-9.27948896E-07,-3.676259E-02
-9.27941084E-07,-3.326388E-02
-9.27933271E-07,-2.985655E-02
-9.27925459E-07,-2.575731E-02
-9.27917646E-07,-2.074423E-02
-9.27909834E-07,-1.531340E-02
-9.27902021E-07,-1.001311E-02
-9.27894209E-07,-4.80420E-03
-9.27886396E-07,6.6580E-04
-9.27878584E-07,6.77549E-03
-9.27870771E-07,1.347265E-02
-9.27862959E-07,2.016982E-02
-9.27855146E-07,2.592703E-02
-9.27847334E-07,3.049624E-02
-9.27839521E-07,3.456937E-02
-9.27831709E-07,3.895582E-02
-9.27823896E-07,4.391668E-02
-9.27816084E-07,4.891670E-02
-9.27808271E-07,5.297678E-02
-9.27800459E-07,5.540499E-02
-9.27792646E-07,5.642327E-02
-9.27784834E-07,5.702379E-02
-9.27777021E-07,5.801597E-02
-9.27769209E-07,5.949117E-02
-9.27761396E-07,6.097943E-02
-9.27753584E-07,6.190633E-02
-9.27745771E-07,6.210215E-02
-9.27737959E-07,6.176272E-02
-9.27730146E-07,6.110998E-02
-9.27722334E-07,5.993504E-02
-9.27714521E-07,5.791153E-02
-9.27706709E-07,5.500028E-02
-9.27698896E-07,5.167129E-02
-9.27691084E-07,4.859033E-02
-9.27683271E-07,4.567909E-02
-9.27675459E-07,4.204983E-02
-9.27667646E-07,3.674954E-02
-9.27659834E-07,2.983044E-02
-9.27652021E-07,2.262414E-02
-9.27644209E-07,1.694526E-02
-9.27636396E-07,1.360320E-02
-9.27628584E-07,1.155358E-02
-9.27620771E-07,8.51179E-03
-9.27612959E-07,2.65014E-03
-9.27605146E-07,-5.87470E-03
-9.27597334E-07,-1.509146E-02
-9.27589521E-07,-2.271552E-02
-9.27581709E-07,-2.792443E-02
-9.27573896E-07,-3.182784E-02
-9.27566084E-07,-3.618818E-02
-9.27558271E-07,-4.169734E-02
-9.27550459E-07,-4.738928E-02
-9.27542646E-07,-5.141019E-02
-9.27534834E-07,-5.274179E-02
-9.27527021E-07,-5.237625E-02
-9.27519209E-07,-5.261124E-02
-9.27511396E-07,-5.506556E-02
-9.27503584E-07,-5.912563E-02
-9.27495771E-07,-6.254602E-02
-9.27487959E-07,-6.330320E-02
-9.27480146E-07,-6.099248E-02
-9.27472334E-07,-5.714129E-02
-9.27464521E-07,-5.409950E-02
-9.27456709E-07,-5.304205E-02
-9.27448896E-07,-5.318565E-02
-9.27441084E-07,-5.274179E-02
-9.27433271E-07,-5.062689E-02
-9.27425459E-07,-4.714124E-02
-9.27417646E-07,-4.360336E-02
-9.27409834E-07,-4.107071E-02
-9.27402021E-07,-3.925608E-02
-9.27394209E-07,-3.667121E-02
-9.27386396E-07,-3.207588E-02
-9.27378584E-07,-2.540483E-02
-9.27370771E-07,-1.772855E-02
-9.27362959E-07,-1.044392E-02
-9.27355146E-07,-4.21673E-03
-9.27347334E-07,1.38382E-03
-9.27339521E-07,7.23241E-03
-9.27331709E-07,1.362931E-02
-9.27323896E-07,2.014371E-02
-9.27316084E-07,2.603147E-02
-9.27308271E-07,3.094011E-02
-9.27300459E-07,3.515684E-02
-9.27292646E-07,3.938663E-02
-9.27284834E-07,4.406028E-02
-9.27277021E-07,4.874699E-02
-9.27269209E-07,5.283317E-02
-9.27261396E-07,5.604468E-02
-9.27253584E-07,5.859038E-02
-9.27245771E-07,6.103165E-02
-9.27237959E-07,6.362957E-02
-9.27230146E-07,6.582279E-02
-9.27222334E-07,6.668442E-02
-9.27214521E-07,6.570530E-02
-9.27206709E-07,6.331625E-02
-9.27198896E-07,6.079666E-02
-9.27191084E-07,5.932146E-02
-9.27183271E-07,5.895592E-02
-9.27175459E-07,5.853816E-02
-9.27167646E-07,5.650160E-02
