filename,mean_velocity_ms,std_velocity_ms,max_velocity_ms,min_velocity_ms,time_range_ns,data_points,nan_count
C1--20250811--00057--vel-smooth-with-uncert.csv,114.62846617717285,94.67121448304256,408.5176408904752,-4.212615228926659,1661.4453119999994,212666,0
C1--20250811--00056--vel-smooth-with-uncert.csv,54.123313486938066,111.70241636930716,406.2550595011078,-77.34007859326611,1747.570312,223690,0
C1--20250811--00061--vel-smooth-with-uncert.csv,140.81335172759998,132.76669826673472,733.4170392332924,-202.0028764391028,1746.4375,223545,0
C1--20250811--00059--vel-smooth-with-uncert.csv,102.02818014664638,93.20141961148747,351.50308913794356,-119.82637962948311,1728.5468749999995,221255,0
C1--20250811--00060--vel-smooth-with-uncert.csv,87.71838728249242,116.21081542187828,690.2588178075058,-426.8629951752902,1790.242188,229152,0
C1--20250811--00062--vel-smooth-with-uncert.csv,107.5836098075322,117.65649609561699,678.8127857200703,-129.18787215302,1684.984375,215679,0
C1--20250811--00063--vel-smooth-with-uncert.csv,140.00484031113587,153.80120897505455,927.6719008070429,-292.76571589914323,1764.90625,225909,0
C1--20250811--00058--vel-smooth-with-uncert.csv,56.701798816380375,110.02948013963804,402.89703758810214,-416.293182108207,1624.8515630000002,207982,0
C1--20250811--00055--vel-smooth-with-uncert.csv,30.954624388916827,83.3736498342617,388.1689309575892,-109.95869037081413,1729.351563,221358,0
C1--20250811--00053--vel-smooth-with-uncert.csv,44.052896301146085,97.81313933358983,420.5649891945582,-373.0684688699096,1750.929688,224120,0
C1--20250811--00054--vel-smooth-with-uncert.csv,57.79437825845518,114.37381121860004,396.523804842758,-88.05181197521263,1688.648438,216148,0
C1--20250811--00051--vel-smooth-with-uncert.csv,84.43407943732812,137.6779693633834,471.8518549216447,-72.16969067513924,1999.9843750000005,255999,0
C1--20250811--00052--vel-smooth-with-uncert.csv,181.61199570678852,155.5474186005003,703.5687297271892,-87.35318620564188,1468.7265629999997,187998,0
C1--20250811--00064--vel-smooth-with-uncert.csv,29.211084844537893,82.97005746664742,417.8791096926956,-92.10571093644909,1770.7031250000002,226651,0
