Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.523023437000000023e-06,3.165227505763593907e+00,2.953415907981409294e-01
2.523031249999999883e-06,3.314769324292389019e+00,2.953415907981409294e-01
2.523039061999999846e-06,3.462954577605973139e+00,2.953415907981409294e-01
2.523046875000000129e-06,3.609787784229265828e+00,2.953415907981409294e-01
2.523054687000000092e-06,3.755273462687183095e+00,2.953415907981409294e-01
2.523062499999999952e-06,3.899416131504644500e+00,2.953415907981409294e-01
2.523070312000000338e-06,4.042220309206566498e+00,2.951830518602261977e-01
2.523078124999999774e-06,4.183690514317870424e+00,2.950246627763282170e-01
2.523085936999999737e-06,4.323831265363473619e+00,2.948664638177388997e-01
2.523093750000000020e-06,4.462647080868293870e+00,2.947084142097881609e-01
2.523101561999999983e-06,4.600142479357248959e+00,2.945505541380824543e-01
2.523109375000000266e-06,4.736321979355258449e+00,2.943928429158642057e-01
2.523117187000000229e-06,4.871190099387238348e+00,2.942353206432842816e-01
2.523125000000000089e-06,5.004751357978109993e+00,2.940779467212385478e-01
2.523132812000000051e-06,5.137010273652789394e+00,2.939207611646769136e-01
2.523140624999999911e-06,5.267971364936197887e+00,2.937637234618651894e-01
2.523148436999999874e-06,5.397639150353249704e+00,2.936068735428399856e-01
2.523156250000000158e-06,5.526018148428866184e+00,2.934501709829375193e-01
2.523164062000000120e-06,5.653112877687965110e+00,2.932936556275674844e-01
2.523171874999999980e-06,5.778927856655462492e+00,2.931372871388642221e-01
2.523179686999999942e-06,5.903467603856279666e+00,2.929811052778445446e-01
2.523187499999999803e-06,6.026736637815334419e+00,2.928250697931695790e-01
2.523195311999999765e-06,6.148739477057544534e+00,2.926692203617475285e-01
2.523203125000000049e-06,6.269480640107827796e+00,2.925135168184705425e-01
2.523210937000000011e-06,6.388964645491101990e+00,2.923579987564209892e-01
2.523218750000000295e-06,6.507196011732288454e+00,2.922026260964447619e-01
2.523226562000000257e-06,6.624179257356303197e+00,2.920474383480465286e-01
2.523234375000000117e-06,6.739918900888062225e+00,2.918923955177662455e-01
2.523242187000000079e-06,6.854419460852490431e+00,2.917375370317777938e-01
2.523249999999999940e-06,6.967685455774498493e+00,2.915828229820404127e-01
2.523257811999999902e-06,7.079721404179009525e+00,2.914282927116764732e-01
2.523265625000000186e-06,7.190531824590943089e+00,2.912739063977736742e-01
2.523273437000000148e-06,7.300121235535211639e+00,2.911197033006814316e-01
2.523281250000000008e-06,7.408494155536738290e+00,2.909656436823515047e-01
2.523289061999999970e-06,7.515655103120440828e+00,2.908117667205873391e-01
2.523296874999999831e-06,7.621608596811237035e+00,2.906580327619415205e-01
2.523304686999999793e-06,7.726359155134042922e+00,2.905044809019474705e-01
